antecedente,consecuente,n_vars,soporte,confianza,lift
t_H18 AND t_Mar,v_OutlierAlto,2,0.0104,0.5922,6.2101
t_H18 AND t_Jue,v_OutlierAlto,2,0.0104,0.5778,6.0592
t_H18 AND t_Mie,v_OutlierAlto,2,0.0104,0.5754,6.0341
t_H18 AND t_Lun,v_OutlierAlto,2,0.0103,0.5199,5.4522
t_H14 AND t_Laborable,v_OutlierAlto,2,0.0521,0.5081,5.3285
t_FinSemana AND t_H07,v_Baja,2,0.0208,0.8093,3.7091
t_Dom AND t_H09,v_Baja,2,0.0104,0.7664,3.5122
t_Laborable AND t_Tarde,v_MuyAlta,2,0.2304,0.5577,3.2938
t_2024 AND t_Tarde,v_MuyAlta,2,0.1788,0.5248,3.099
t_2024 AND t_H23,v_Media,2,0.0407,0.6155,3.0841
t_Dom AND t_H03,v_Baja,2,0.0104,0.6534,2.9943
t_H14,v_MuyAlta,1,0.0729,0.5015,2.9614
t_H00 AND t_Sab,v_Media,2,0.0162,0.5674,2.8431
t_Madrugada,v_MuyBaja,1,0.3231,0.516,2.833
t_FinSemana AND t_H16,v_Media,2,0.0208,0.5596,2.8042
t_H09 AND t_Sab,v_Media,2,0.0104,0.5517,2.7644
t_H00,v_Baja,1,0.0728,0.5934,2.7195
t_H22,v_Media,1,0.0729,0.5398,2.705
t_H21 AND t_Primavera,v_Alta,2,0.0223,0.6234,2.7016
t_2024 AND t_H10,v_Alta,2,0.0408,0.6163,2.6706
t_2025 AND t_H23,v_Baja,2,0.0403,0.5726,2.6244
t_FinSemana AND t_H10,v_Media,2,0.0208,0.5126,2.5687
t_2024 AND t_H21,v_Alta,2,0.0407,0.5768,2.4994
t_FinSemana AND t_H13,v_Alta,2,0.0208,0.5758,2.4951
t_H01,v_Baja,1,0.0729,0.54,2.4747
t_FinSemana AND t_H19,v_Alta,2,0.0208,0.5586,2.4205
t_H06,v_Baja,1,0.0731,0.5252,2.4069
t_2025 AND t_Ago,v_Baja,2,0.0511,0.5223,2.3936
t_H11,v_Alta,1,0.0729,0.5506,2.3858
t_Ago AND t_Dom,v_Baja,2,0.0154,0.5189,2.378
t_H12,v_Alta,1,0.0729,0.5372,2.3281
t_Madrugada AND t_Sab,v_Baja,2,0.0519,0.5034,2.3071
t_2024 AND t_H20,v_Alta,2,0.0407,0.5164,2.2377
